,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills,damage_amplified,damage_amplified_most_in_game,healing_amplified,healing_amplified_most_in_game,self_healing_avg_per_10_min,damage_amplified_avg_per_10_min,scoped_accuracy,healing_amplified_avg_per_10_min,biotic_grenade_kills_avg_per_10_min,unscoped_accuracy,nano_boost_assists_avg_per_10_min,enemies_slept_avg_per_10_min,melee_final_blows_avg_per_10_min,objective_time_avg_per_10_min,all_damage_done_avg_per_10_min,final_blows_avg_per_10_min,eliminations_per_life,objective_kills_avg_per_10_min,obj_contest_time_avg_per_10_min,solo_kills_avg_per_10_min,deaths_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,eliminations_avg_per_10_min,assists_avg_per_10_min,rank,biotic_grenade_kill,nano_boost_assist,nano_boost_assist_most_in_game,enemy_slept,enemy_slept_most_in_game,elimination_per_life
111,81.0,9463.0,864.0,195.0,137.0,67,11.0,8.0,212.0,17910.0,1185.0,12056.0,685.0,239.0,453.0,55.0,305.0,5.36,52,3.46,4.93,0.08,52.0,2933,2.2,1.7,4.45,20.0,0.18,5.56,2217.0,8360,9.48,16.68,silver,,,,,,
112,51.0,685.0,417.0,22.0,10.0,51,10.0,6.0,17.0,1388.0,624.0,1211.0,512.0,242.0,490.0,40.0,427.0,6.0,48,3.53,7.76,,77.0,4151,2.12,1.45,5.29,29.0,,7.06,2460.0,6796,10.23,14.47,silver,,,,,,
113,71.0,644.0,267.0,25.0,6.0,54,9.0,4.0,21.0,901.0,401.0,971.0,314.0,147.0,206.0,57.0,222.0,4.8,46,1.37,5.71,,28.0,2829,2.29,1.13,4.8,22.0,,7.31,2658.0,6834,8.23,11.2,silver,,,,,,
114,64.0,1463.0,494.0,28.0,10.0,72,9.0,7.0,26.0,1426.0,624.0,1381.0,589.0,362.0,352.0,59.0,341.0,6.42,53,2.47,6.92,,80.0,3740,1.48,2.5,5.68,27.0,,4.45,3402.0,9474,11.12,16.8,silver,,,,,,
115,48.0,1870.0,1235.0,9.0,7.0,67,5.0,4.0,7.0,1025.0,564.0,1033.0,642.0,831.0,455.0,47.0,459.0,3.11,60,3.11,4.0,,51.0,3968,1.33,0.74,1.78,19.0,,8.44,2945.0,8570,6.22,12.44,silver,,,,,,
116,100.0,3222.0,580.0,40.0,20.0,57,9.0,5.0,28.0,,,5154.0,1103.0,420.0,,50.0,672.0,3.65,43,2.61,5.21,,63.0,3228,1.96,1.12,4.43,,,6.65,2031.0,8485,7.43,,silver,,,,,,
117,54.0,81.0,81.0,5.0,2.0,62,5.0,2.0,5.0,302.0,302.0,460.0,460.0,104.0,387.0,54.0,590.0,6.41,62,2.57,6.41,,8.0,3022,2.57,1.5,2.57,8.0,,7.7,2657.0,7178,11.55,17.96,silver,,,,,,
118,79.0,930.0,330.0,12.0,12.0,63,4.0,8.0,17.0,1647.0,895.0,952.0,416.0,384.0,680.0,60.0,393.0,7.02,55,4.95,4.95,,24.0,6375,2.89,3.67,3.72,5.0,,3.72,3670.0,9467,13.62,19.4,silver,,,,,,
119,71.0,3445.0,814.0,44.0,22.0,59,12.0,6.0,38.0,3191.0,841.0,3088.0,817.0,549.0,508.0,57.0,492.0,6.05,51,3.5,7.01,0.32,58.0,3309,2.55,1.44,4.62,20.0,,6.53,2405.0,9964,9.39,15.6,silver,,,,,,
120,80.0,2316.0,490.0,27.0,15.0,100,6.0,7.0,37.0,,,,,428.0,,62.0,,6.83,58,2.77,4.99,0.37,24.0,3021,4.43,1.89,4.99,,0.92,6.83,2413.0,6180,12.93,,silver,,,,,,
121,49.0,,,,,52,,,2.0,154.0,154.0,354.0,354.0,,348.0,50.0,799.0,4.52,52,,,,13.0,2455,4.52,,4.52,13.0,2.26,9.03,2440.0,10652,9.03,13.55,silver,,,,,,1.0
122,57.0,624.0,254.0,19.0,5.0,69,8.0,3.0,25.0,1555.0,871.0,1002.0,568.0,182.0,453.0,54.0,292.0,7.28,50,1.46,5.53,,88.0,2932,2.33,1.29,4.37,11.0,0.29,8.15,2333.0,6382,10.48,11.94,silver,,,,,,
123,71.0,,,,,17,,,,,,62.0,62.0,,,71.0,564.0,9.1,17,,9.1,,33.0,3412,,,,33.0,,9.1,3412.0,7729,9.1,9.1,silver,1.0,,,1.0,1.0,1.0
124,100.0,799.0,370.0,24.0,17.0,61,9.0,6.0,39.0,,,1256.0,584.0,190.0,,57.0,299.0,9.29,51,4.05,5.72,,50.0,4685,2.86,2.74,5.48,,0.24,5.48,2977.0,8160,15.01,,silver,,,,,,
125,71.0,5688.0,1193.0,75.0,44.0,68,15.0,7.0,100.0,5978.0,939.0,5231.0,889.0,424.0,446.0,65.0,390.0,7.46,59,3.28,5.59,0.3,62.0,3740,4.4,2.69,5.44,16.0,0.37,4.85,3073.0,8068,13.05,15.51,silver,,,,,,
